Seq_575,0.000000,0.076889,0.289120,0.020523,0.000000,0.177143
Seq_155,0.110707,0.333187,0.269436,0.105774,0.000000,0.320722
Seq_428,0.000000,0.062244,0.092272,0.056834,0.000000,0.091368
Seq_117,0.399918,0.864089,0.634835,0.133402,0.000000,0.346827
Seq_291,0.000000,0.234329,0.103345,0.052887,0.000000,0.117474
Seq_7,1.750712,0.000000,0.371551,2.068122,2.446720,0.000000
Seq_74,0.151042,0.497950,0.407229,0.142874,2.206187,0.561263
Seq_477,0.038619,0.161101,0.083660,0.000000,0.000000,0.063399
Seq_289,0.044626,0.197715,0.184545,0.059991,0.000000,0.221895
Seq_92,0.471148,1.204599,0.852598,0.162608,0.000000,0.000000
Seq_3,1.773883,0.237991,0.329720,2.002605,7.464308,0.000000
Seq_286,0.044626,0.000000,0.183315,0.064727,0.000000,0.158496
Seq_173,0.099550,0.285589,0.211612,0.101827,0.000000,0.296481
Seq_110,0.407641,0.922671,0.727107,0.149978,0.000000,0.320722
Seq_228,0.048059,0.000000,0.172242,0.074989,1.145769,0.137985
Seq_425,0.049775,0.183070,0.084891,0.042625,0.000000,0.070857
Seq_24,1.008376,0.000000,0.236218,1.332439,1.381130,0.000000
Seq_144,0.077237,0.289250,0.223915,0.000000,1.456135,0.000000
Seq_323,0.034328,0.080551,0.116878,0.048940,0.000000,0.000000
Seq_273,0.000000,0.205038,0.198078,0.060781,0.000000,0.208842
Seq_387,0.030037,0.000000,0.087351,0.044204,0.000000,0.095098
Seq_253,0.081528,0.289250,0.126721,0.083672,0.000000,0.128662
Seq_447,0.032611,0.194054,0.108266,0.037889,0.000000,0.000000
Seq_279,0.035186,0.000000,0.152557,0.079725,0.000000,0.173414
Seq_290,0.072946,0.223345,0.125491,0.072621,0.000000,0.102556
Seq_541,0.046342,0.117165,0.000000,0.034732,0.000000,0.048481
Seq_262,0.044626,0.157440,0.172242,0.079725,0.000000,0.145444
Seq_46,0.689987,1.936878,1.296736,0.227336,0.000000,0.609745
Seq_746,0.000000,0.139133,0.209151,0.097091,0.000000,0.027970
Seq_516,0.029179,0.102519,0.086121,0.033942,0.000000,0.000000
Seq_106,0.455700,0.864089,0.750483,0.149189,0.000000,0.333775
Seq_251,0.065223,0.237991,0.175933,0.072621,0.000000,0.238677
Seq_115,0.125296,0.468658,0.342023,0.127087,0.000000,0.490406
Seq_118,0.362157,0.900703,0.660671,0.131823,0.000000,0.333775
Seq_295,0.078954,0.000000,0.118109,0.048940,0.000000,0.095098
Seq_341,0.071230,0.194054,0.109497,0.046572,0.000000,0.082045
Seq_268,0.049775,0.216022,0.189466,0.070253,0.000000,0.192060
Seq_114,0.413649,0.919010,0.669283,0.000000,0.000000,0.320722
