Seq_423,0.194693,0.000000,0.105711,0.000000,0.071555,0.061528
Seq_155,0.627813,0.060464,0.255319,0.000000,0.177222,0.187660
Seq_424,0.205979,0.014134,0.051064,0.137000,0.061570,0.056400
Seq_269,0.000000,0.081666,0.128108,0.393876,0.069891,0.186634
Seq_117,0.173530,0.128781,0.461366,0.000000,0.324492,0.000000
Seq_482,0.132617,0.018846,0.093169,0.000000,0.066562,0.061528
Seq_291,0.383742,0.020416,0.102128,0.000000,0.077379,0.100495
Seq_7,0.000000,2.477463,1.057111,0.000000,1.711485,1.151594
Seq_74,1.018609,0.085592,0.448824,0.506901,0.256265,0.278926
Seq_477,0.207390,0.014134,0.062710,0.000000,0.000000,0.057426
Seq_289,0.286396,0.000000,0.154983,0.000000,0.096515,0.085113
Seq_92,0.203157,0.170399,0.501680,0.102750,0.348620,0.000000
Seq_3,0.000000,2.406006,1.031131,0.000000,1.618298,1.051099
Seq_286,0.159422,0.000000,0.128108,0.270576,0.105668,0.000000
Seq_173,0.547396,0.058108,0.246361,0.304826,0.163078,0.000000
Seq_18,0.000000,1.551654,0.722060,0.000000,1.150697,0.761918
Seq_296,0.277931,0.000000,0.140649,0.000000,0.089027,0.104597
Seq_110,0.165065,0.146056,0.446137,0.075350,0.340300,0.000000
Seq_228,0.194693,0.000000,0.164838,0.274001,0.084035,0.109724
Seq_309,0.174941,0.034551,0.121837,0.280851,0.106500,0.000000
Seq_425,0.222909,0.019631,0.000000,0.000000,0.056578,0.065630
Seq_24,0.000000,1.506894,0.645913,0.000000,1.066662,0.708594
Seq_316,0.324488,0.017275,0.110190,0.000000,0.078211,0.000000
Seq_144,0.575613,0.054967,0.265174,0.000000,0.147269,0.176380
Seq_577,0.088881,0.014920,0.067189,0.000000,0.000000,0.046146
Seq_323,0.179174,0.032980,0.129899,0.191801,0.088195,0.105623
Seq_493,0.117098,0.000000,0.083315,0.119875,0.052418,0.058451
Seq_273,0.276520,0.030625,0.164838,0.000000,0.099012,0.105623
Seq_387,0.148136,0.032195,0.110190,0.000000,0.084035,0.084088
Seq_253,0.426066,0.023557,0.138858,0.000000,0.106500,0.095368
Seq_68,0.000000,0.861419,0.371781,0.000000,0.539155,0.434796
